full_text,cleansing,case_folding,tokenize,Filtering/stopword removal,stemming_data
@Dennysiregar7 jadi bedalah 16% itu sedikit tp berani tidak plin plan berani melawan nepo d tegakkan konstitusi dan tidk meninggalkan kawan seperjuangan. ngak kaya yg 58% ulamanya di penjara kasus km 50 ada korban dia malah gabung utk kekuasaan bergabung ,Dennysiregar jadi bedalah  itu sedikit tp berani tidak plin plan berani melawan nepo d tegakkan konstitusi dan tidk meninggalkan kawan seperjuangan ngak kaya yg  ulamanya di penjara kasus km  ada korban dia malah gabung utk kekuasaan bergabung ,dennysiregar jadi bedalah  itu sedikit tp berani tidak plin plan berani melawan nepo d tegakkan konstitusi dan tidk meninggalkan kawan seperjuangan ngak kaya yg  ulamanya di penjara kasus km  ada korban dia malah gabung utk kekuasaan bergabung ,"['dennysiregar', 'jadi', 'bedalah', 'itu', 'sedikit', 'tp', 'berani', 'tidak', 'plin', 'plan', 'berani', 'melawan', 'nepo', 'd', 'tegakkan', 'konstitusi', 'dan', 'tidk', 'meninggalkan', 'kawan', 'seperjuangan', 'ngak', 'kaya', 'yg', 'ulamanya', 'di', 'penjara', 'kasus', 'km', 'ada', 'korban', 'dia', 'malah', 'gabung', 'utk', 'kekuasaan', 'bergabung']","['dennysiregar', 'bedalah', 'tp', 'berani', 'plin', 'plan', 'berani', 'melawan', 'nepo', 'd', 'tegakkan', 'konstitusi', 'tidk', 'meninggalkan', 'kawan', 'seperjuangan', 'ngak', 'kaya', 'yg', 'ulamanya', 'penjara', 'km', 'korban', 'gabung', 'utk', 'kekuasaan', 'bergabung']",dennysiregar beda tp berani plin plan berani lawan nepo d tegak konstitusi tidk tinggal kawan juang ngak kaya yg ulama penjara km korban gabung utk kuasa gabung
@ng3betlari Haha mikir yg 50 km,ngbetlari Haha mikir yg  km,ngbetlari haha mikir yg  km,"['ngbetlari', 'haha', 'mikir', 'yg', 'km']","['ngbetlari', 'haha', 'mikir', 'yg', 'km']",ngbetlari haha mikir yg km
Setelah liat detik 0:50 aku jdi paham kenapa km galau mai https://t.co/EKVEumGyjN,Setelah liat detik  aku jdi paham kenapa km galau mai ,setelah liat detik  aku jdi paham kenapa km galau mai ,"['setelah', 'liat', 'detik', 'aku', 'jdi', 'paham', 'kenapa', 'km', 'galau', 'mai']","['liat', 'detik', 'jdi', 'paham', 'km', 'galau', 'mai']",liat detik jdi paham km galau mai
@EAAANNH @kegblgnunfaedh bro jangankan visum pemb*nuhan aja bisa direkayasa sama polisi kasus KM50 ferdy sambo kasus vina apalagi cuma kasus receh kaya gitu hehe.,EAAANNH kegblgnunfaedh bro jangankan visum pembnuhan aja bisa direkayasa sama polisi kasus KM ferdy sambo kasus vina apalagi cuma kasus receh kaya gitu hehe,eaaannh kegblgnunfaedh bro jangankan visum pembnuhan aja bisa direkayasa sama polisi kasus km ferdy sambo kasus vina apalagi cuma kasus receh kaya gitu hehe,"['eaaannh', 'kegblgnunfaedh', 'bro', 'jangankan', 'visum', 'pembnuhan', 'aja', 'bisa', 'direkayasa', 'sama', 'polisi', 'kasus', 'km', 'ferdy', 'sambo', 'kasus', 'vina', 'apalagi', 'cuma', 'kasus', 'receh', 'kaya', 'gitu', 'hehe']","['eaaannh', 'kegblgnunfaedh', 'bro', 'visum', 'pembnuhan', 'aja', 'direkayasa', 'polisi', 'km', 'ferdy', 'sambo', 'vina', 'receh', 'kaya', 'gitu', 'hehe']",eaaannh kegblgnunfaedh bro visum pembnuhan aja rekayasa polisi km ferdy sambo vina receh kaya gitu hehe
@nadyardp seharusnya km tau,nadyardp seharusnya km tau,nadyardp seharusnya km tau,"['nadyardp', 'seharusnya', 'km', 'tau']","['nadyardp', 'km', 'tau']",nadyardp km tau
Polisi sedang dibuka Aibnya oleh Allah SWT Mubahallah KM50 terus berjalan,Polisi sedang dibuka Aibnya oleh Allah SWT Mubahallah KM terus berjalan,polisi sedang dibuka aibnya oleh allah swt mubahallah km terus berjalan,"['polisi', 'sedang', 'dibuka', 'aibnya', 'oleh', 'allah', 'swt', 'mubahallah', 'km', 'terus', 'berjalan']","['polisi', 'dibuka', 'aibnya', 'allah', 'swt', 'mubahallah', 'km', 'berjalan']",polisi buka aib allah swt mubahallah km jalan
Ntar di jalan bahas2 fun fact van gogh kyk tau gak ay van gogh pernah dikasih uang jajan 50 francs sama adeknya km tau gak by kebiasaan pelukis pelukis impresionis abad 19 sering tukeran lukisan lewat pos kalo sekarang yaa kayak tuker pc lah hahahshah gemes sendiri,Ntar di jalan bahas fun fact van gogh kyk tau gak ay van gogh pernah dikasih uang jajan  francs sama adeknya km tau gak by kebiasaan pelukis pelukis impresionis abad  sering tukeran lukisan lewat pos kalo sekarang yaa kayak tuker pc lah hahahshah gemes sendiri,ntar di jalan bahas fun fact van gogh kyk tau gak ay van gogh pernah dikasih uang jajan  francs sama adeknya km tau gak by kebiasaan pelukis pelukis impresionis abad  sering tukeran lukisan lewat pos kalo sekarang yaa kayak tuker pc lah hahahshah gemes sendiri,"['ntar', 'di', 'jalan', 'bahas', 'fun', 'fact', 'van', 'gogh', 'kyk', 'tau', 'gak', 'ay', 'van', 'gogh', 'pernah', 'dikasih', 'uang', 'jajan', 'francs', 'sama', 'adeknya', 'km', 'tau', 'gak', 'by', 'kebiasaan', 'pelukis', 'pelukis', 'impresionis', 'abad', 'sering', 'tukeran', 'lukisan', 'lewat', 'pos', 'kalo', 'sekarang', 'yaa', 'kayak', 'tuker', 'pc', 'lah', 'hahahshah', 'gemes', 'sendiri']","['ntar', 'jalan', 'bahas', 'fun', 'fact', 'van', 'gogh', 'kyk', 'tau', 'gak', 'ay', 'van', 'gogh', 'dikasih', 'uang', 'jajan', 'francs', 'adeknya', 'km', 'tau', 'gak', 'by', 'kebiasaan', 'pelukis', 'pelukis', 'impresionis', 'abad', 'tukeran', 'lukisan', 'pos', 'kalo', 'yaa', 'kayak', 'tuker', 'pc', 'hahahshah', 'gemes']",ntar jalan bahas fun fact van gogh kyk tau gak ay van gogh kasih uang jajan francs adeknya km tau gak by biasa peluk peluk impresionis abad tukeran lukis pos kalo yaa kayak tuker pc hahahshah gemes
50 km/jam di ringroang kaya org ga punya semangat hidup, kmjam di ringroang kaya org ga punya semangat hidup, kmjam di ringroang kaya org ga punya semangat hidup,"['kmjam', 'di', 'ringroang', 'kaya', 'org', 'ga', 'punya', 'semangat', 'hidup']","['kmjam', 'ringroang', 'kaya', 'org', 'ga', 'semangat', 'hidup']",kmjam ringroang kaya org ga semangat hidup
@blacksatuurn to = 19.16 ta = 20.06 selisih t = ta - to = 50 menit jika avg pace = 6.49 min/km maka kita cari dulu jarak (S) t/s = avg pace 50 menit / s = 6.49 menit/km S = 50 / 6.49 = 7.7 Km 1 km = 1166 langkah 7.7 km = 7.7 x 1166 = 8983 langkah Jadi kis,blacksatuurn to   ta   selisih t  ta  to   menit jika avg pace   minkm maka kita cari dulu jarak S ts  avg pace  menit  s   menitkm S       Km  km   langkah  km   x    langkah Jadi kis,blacksatuurn to   ta   selisih t  ta  to   menit jika avg pace   minkm maka kita cari dulu jarak s ts  avg pace  menit  s   menitkm s       km  km   langkah  km   x    langkah jadi kis,"['blacksatuurn', 'to', 'ta', 'selisih', 't', 'ta', 'to', 'menit', 'jika', 'avg', 'pace', 'minkm', 'maka', 'kita', 'cari', 'dulu', 'jarak', 's', 'ts', 'avg', 'pace', 'menit', 's', 'menitkm', 's', 'km', 'km', 'langkah', 'km', 'x', 'langkah', 'jadi', 'kis']","['blacksatuurn', 'to', 'ta', 'selisih', 't', 'ta', 'to', 'menit', 'avg', 'pace', 'minkm', 'cari', 'jarak', 's', 'ts', 'avg', 'pace', 'menit', 's', 'menitkm', 's', 'km', 'km', 'langkah', 'km', 'x', 'langkah', 'kis']",blacksatuurn to ta selisih t ta to menit avg pace minkm cari jarak s ts avg pace menit s menitkm s km km langkah km x langkah kis
@nurulbojack Ahh no wonder. Utk 6 km je tapi jem 50 mins baik lari exit damansara,nurulbojack Ahh no wonder Utk  km je tapi jem  mins baik lari exit damansara,nurulbojack ahh no wonder utk  km je tapi jem  mins baik lari exit damansara,"['nurulbojack', 'ahh', 'no', 'wonder', 'utk', 'km', 'je', 'tapi', 'jem', 'mins', 'baik', 'lari', 'exit', 'damansara']","['nurulbojack', 'ahh', 'no', 'wonder', 'utk', 'km', 'je', 'jem', 'mins', 'lari', 'exit', 'damansara']",nurulbojack ahh no wonder utk km je jem mins lari exit damansara
